log,phase,timer,Balthazar.9024,Demolition Dieter.6952,edaquila.8014,EstiaStein.7531,KarlFranzOtto.7863,Nxxb.6820,Rosenrot.1293,SyNyxthete.2104,CineqPl.4126,oPeet.1702
https://dps.report/rUEG-20230304-185423_sam,Split 2,19.924,18774,22622,18300,18522,20481,17094,18264,18243,6395,7575
https://dps.report/BshO-20230304-190615_sam,Split 2,23.536,14566,16882,14810,18798,17203,15424,12085,16550,6786,6787
https://dps.report/CWk9-20230304-191304_sam,Split 2,20.322,18042,20946,19455,18541,19079,14820,16907,19904,7401,6431
https://dps.report/Tq9m-20230304-191656_sam,Split 2,20.995,16034,17865,15677,19026,17848,17973,19957,18885,6737,6988
https://dps.report/12Xu-20230304-192431_sam,Split 2,20.349,20890,19156,18261,17594,17781,17899,15040,19219,7821,8110
https://dps.report/J7Gc-20230304-193906_sam,Split 2,20.207,17729,19715,14511,21043,18738,17018,19470,20266,6062,8247
https://dps.report/H3f2-20230304-194814_sam,Split 2,19.875,19839,21340,17656,20111,19721,17821,16622,20525,5835,5835
https://dps.report/Xi0B-20230304-195242_sam,Split 2,21.598,19004,18397,13741,16830,17414,17359,17798,16180,6375,8937
https://dps.report/j6Ux-20230304-195704_sam,Split 2,21.417,17665,17395,14749,15878,19206,17500,18816,17121,6337,8572
https://dps.report/KR7D-20230304-200103_sam,Split 2,19.541,14918,21345,18160,20081,19110,20336,19414,19320,6633,8511
