log,phase,timer,Balthazar.9024,Demolition Dieter.6952,edaquila.8014,EstiaStein.7531,KarlFranzOtto.7863,Nxxb.6820,Rosenrot.1293,SyNyxthete.2104,CineqPl.4126,oPeet.1702
https://dps.report/BshO-20230304-190615_sam,Phase 3,45.092,24199,24284,22333,23641,22633,22498,25580,22797,11140,16783
https://dps.report/Tq9m-20230304-191656_sam,Phase 3,44.827,25638,26155,23709,21926,25361,21033,20497,24778,11242,16759
https://dps.report/12Xu-20230304-192431_sam,Phase 3,44.709,26249,23924,23590,21973,27597,21472,21916,24177,10724,16477
https://dps.report/J7Gc-20230304-193906_sam,Phase 3,46.502,24215,24206,22405,21997,23151,21968,23525,22217,9579,15924
https://dps.report/Xi0B-20230304-195242_sam,Phase 3,46.304,26201,24754,19882,21914,22715,23522,20573,22550,11099,16871
https://dps.report/KR7D-20230304-200103_sam,Phase 3,54.819,23301,23875,20071,18042,16325,15906,19485,18514,9672,12424
